tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
Root,Root,root,Root,Root,,,,,,,
d__Bacteria,Root,rank_0,d__Bacteria,Root,d__Bacteria,,,,,,
p__Proteobacteria,d__Bacteria,rank_1,p__Proteobacteria,Root,d__Bacteria,p__Proteobacteria,,,,,
c__Alphaproteobacteria,p__Proteobacteria,rank_2,c__Alphaproteobacteria,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,,,,
o__Rhodobacterales,c__Alphaproteobacteria,rank_3,o__Rhodobacterales,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,,,
f__Rhodobacteraceae,o__Rhodobacterales,rank_4,f__Rhodobacteraceae,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,,
g__Sulfitobacter_D,f__Rhodobacteraceae,rank_5,g__Sulfitobacter_D,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Sulfitobacter_D,
s__Sulfitobacter_D_brevis,g__Sulfitobacter_D,rank_6,s__Sulfitobacter_D_brevis,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Sulfitobacter_D,s__Sulfitobacter_D_brevis
g__Actibacterium,f__Rhodobacteraceae,rank_5,g__Actibacterium,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Actibacterium,
s__Actibacterium_mucosum,g__Actibacterium,rank_6,s__Actibacterium_mucosum,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Actibacterium,s__Actibacterium_mucosum
p__Bacteroidetes,d__Bacteria,rank_1,p__Bacteroidetes,Root,d__Bacteria,p__Bacteroidetes,,,,,
c__Bacteroidia,p__Bacteroidetes,rank_2,c__Bacteroidia,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,,,,
o__Flavobacteriales,c__Bacteroidia,rank_3,o__Flavobacteriales,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,,,
f__Blattabacteriaceae,o__Flavobacteriales,rank_4,f__Blattabacteriaceae,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Blattabacteriaceae,,
g__Blattabacterium,f__Blattabacteriaceae,rank_5,g__Blattabacterium,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Blattabacteriaceae,g__Blattabacterium,
p__Firmicutes_B,d__Bacteria,rank_1,p__Firmicutes_B,Root,d__Bacteria,p__Firmicutes_B,,,,,
c__Moorellia,p__Firmicutes_B,rank_2,c__Moorellia,Root,d__Bacteria,p__Firmicutes_B,c__Moorellia,,,,
o__Moorellales,c__Moorellia,rank_3,o__Moorellales,Root,d__Bacteria,p__Firmicutes_B,c__Moorellia,o__Moorellales,,,
