seqname,tax_id
GCA_900112755.1,s__Sulfitobacter_D_brevis
GCA_000647975.1,s__Actibacterium_mucosum
GCA_000022605.2,g__Blattabacterium
GCA_001594015.1,s__Moorella_mulderi
GCA_000467935.1,g__W5053
GCA_900095295.1,s__Methanobacterium_C_congolense
GCA_900104745.1,s__Actinopolymorpha_singaporensis
GCA_900112775.1,s__Clostridium_AI_populeti
GCA_000230975.3,s__Hyphomicrobium_denitrificans_A
GCA_000745575.1,g__Pararhizobium
GCA_000564855.1,s__Actinokineospora_B_spheciospongiae
GCA_002195995.1,s__Inquilinus_limosus
GCA_000174895.1,s__Ruminococcus_flavefaciens_A
GCA_001005265.1,g__Dehalogenimonas
GCA_000337915.1,s__Halorubrum_saccharovorum
GCA_900101385.1,s__Terribacillus_halophilus
GCA_000259255.1,s__Helicobacter_cetorum
GCA_000025485.1,s__Allochromatium_vinosum
GCA_000974765.1,s__Sphingomonas_B_changbaiensis
GCA_000702505.1,s__Thermogemmatispora_carboxidivorans
GCA_900079765.1,g__Pseudoflavonifractor
GCA_900172335.1,s__Roseovarius_albus
GCA_001804315.1,g__2-12-FULL-50-11-A
GCA_002197845.1,s__Fimbriiglobus_ruber
GCA_001422615.1,g__Pseudomonas_E
GCA_900111675.1,s__Paracoccus_homiensis
GCA_001941965.1,s__Pseudomonas_E_putida_L
GCA_000347175.1,s__Leptospira_alstonii
GCA_000970345.1,s__Paraburkholderia_D_andropogonis
GCA_001468035.1,s__Legionella_tucsonensis
GCA_001639065.2,s__Vibrio_barjaei
GCA_001657315.1,g__BBD-1991-12
GCA_000091665.1,s__Methanocaldococcus_jannaschii
GCA_000415925.1,s__Lactobacillus_G_otakiensis
GCA_900130035.1,s__Wenyingzhuangia_marina
GCA_001604405.1,g__Spiro-10
GCA_000812565.1,g__Flammeovirga
GCA_002218005.1,s__Vibrio_algivorus
GCA_000613825.1,s__Bacteroides_graminisolvens
GCA_001429655.1,g__Terracoccus
GCA_002019645.1,s__Bacillus_AX_alkalitelluris
GCA_000069185.1,s__Mycobacterium_abscessus
GCA_900107415.1,s__Jannaschia_faecimaris
GCA_001695395.1,s__Arcobacter_thereius
GCA_900095015.1,s__Weissella_hellenica_A
GCA_900177465.1,s__Paraburkholderia_E_caryophylli
GCA_900167375.1,s__Anaerorhabdus_furcosa
GCA_001592365.1,s__Gordonia_hydrophobica
GCA_002023335.1,s__Elizabethkingia_miricola_A
GCA_000423205.1,s__Jonesia_quinghaiensis
GCA_000419585.1,s__Salisaeta_longa
GCA_900113175.1,s__Planifilum_fulgidum
GCA_002177115.1,g__Chryseobacterium
GCA_000752995.1,s__Necropsobacter_massiliensis
GCA_002006795.1,g__Wohlfahrtiimonas
GCA_900109825.1,s__Alkalibacterium_putridalgicola
GCA_001654965.1,s__Proteus_hauseri_A
GCA_001423845.1,g__Sphingomonas
GCA_002177135.1,s__Natronolimnobius_baerhuensis
GCA_001507555.1,g__Thiomicrospira_B
GCA_000478965.1,g__Anaeroglobus
GCA_001311885.1,s__Syntrophomonas_A_palmitatica
GCA_001639905.1,s__Kosmotoga_A_olearia
GCA_000154725.1,s__Kordia_algicida
GCA_000689395.1,s__Phaeomarinobacter_ectocarpi
GCA_000340945.1,s__Nocardiopsis_synnemataformans
GCA_900107375.1,g__Lysobacter
GCA_001632915.1,s__Mycobacterium_kansasii_D
GCA_001935945.1,s__Corynebacterium_diphtheriae_A
GCA_900066785.1,g__CAG-81
GCA_001291445.1,s__Mycobacterium_mucogenicum
GCA_000168995.1,g__BACL14
GCA_000187855.1,s__Streptococcus_cristatus
GCA_001063195.1,s__Kocuria_A_xyli
GCA_001517665.1,s__Peptoniphilus_A_timonensis
GCA_000434275.1,g__Agathobacter
GCA_900106645.1,s__Flavobacterium_degerlachei
GCA_001425005.1,g__Pseudoduganella
RL3_ORYSJ,Viridiplantae
GCA_000327285.1,s__Holdemania_massiliensis
GCA_001553405.1,s__28L_sp2
GCA_900109845.1,s__Pasteurella_A_skyensis
GCA_001660005.1,s__Borrelia_hermsii
GCA_001570505.1,s__Mycobacterium_thermoresistibile
GCA_000613245.1,s__Mycobacterium_asiaticum
GCA_001457435.1,s__Actinobaculum_massiliense
GCA_000772915.1,s__Streptococcus_phocae
GCA_000515315.1,s__Asinibacterium_sp1
GCA_000743705.1,s__Ruegeria_halocynthiae
GCA_000154745.2,s__Phaeobacter_inhibens
GCA_002115805.1,s__Marivita_geojedonensis
GCA_000423105.1,s__Halalkalibacillus_halophilus
GCA_000428965.1,s__Leptotrichia_hofstadii
GCA_000024165.1,s__Accumulibacter_phosphatis
GCA_001436675.1,s__Lactobacillus_G_senmaizukei
GCA_000518665.1,s__Microvirga_flocculans
GCA_000428985.1,s__Marinobacterium_litorale
GCA_900103225.1,s__Pseudomonas_E_congelans
GCA_000753575.1,g__HR2
GCA_002159495.1,g__UBA1382
GCA_000013445.1,s__Methanospirillum_hungatei
GCA_001653795.1,g__Mitsuaria
GCA_900163615.1,s__Brachybacterium_xerosis
GCA_001187875.1,g__Pseudomonas_E
GCA_900115585.1,s__Erythrobacter_A_nanhaisediminis
GCA_000719015.1,s__Streptomyces_ruber
GCA_000373665.1,g__Streptomyces_B
GCA_000931465.1,g__Pseudomonas_E
GCA_900091615.1,s__Micromonospora_yangpuensis
GCA_000007725.1,s__Buchnera_aphidicola_H
GCA_000353425.1,s__Anoxybacillus_flavithermus_A
GCA_000187005.1,s__Thermus_scotoductus
GCA_001909085.1,g__Paenibacillus
GCA_000184705.1,s__Thermaerobacter_marianensis
GCA_001433975.1,s__Lactobacillus_johnsonii
GCA_000682695.1,s__Hyphomonas_chukchiensis
GCA_000518885.1,g__Bacillus_AA
GCA_900102335.1,s__Pseudomonas_E_seleniipraecipitans
GCA_002161355.1,g__Ruminococcus_B
GCA_900112335.1,s__Tropicimonas_isoalkanivorans
GCA_000148995.1,s__Listeria_grayi
GCA_001872285.1,g__CG2-30-68-42
GCA_000369385.1,s__Acinetobacter_baumannii
GCA_001640115.1,s__Polaribacter_atrinae
GCA_900110345.1,s__Amphibacillus_marinus
GCA_000478605.2,s__Streptomyces_thermolilacinus
GCA_000971765.1,s__Pantoea_A_carbekii
GCA_001808205.1,g__Morococcus
GCA_900111145.1,s__Fabibacter_pacificus
GCA_001482305.1,g__Leucobacter
GCA_002155425.1,s__Porphyrobacter_donghaensis_A
GCA_001425525.1,s__Leaf454_sp1
